"","x"
"1","intermediate"
"2","early"
"3","intermediate"
"4","intermediate"
"5","early"
"6","early"
"7","CM"
"8","early"
"9","intermediate"
"10","early"
"11","early"
"12","intermediate"
"13","EC"
"14","intermediate"
"15","early"
"16","early"
"17","early"
"18","early"
"19","early"
"20","CM"
"21","EC"
"22","early"
"23","EC"
"24","intermediate"
"25","intermediate"
"26","early"
"27","early"
"28","CM"
"29","early"
"30","early"
"31","early"
"32","CM"
"33","early"
"34","intermediate"
"35","intermediate"
"36","early"
"37","CM"
"38","early"
"39","CM"
"40","early"
"41","early"
"42","early"
"43","early"
"44","intermediate"
"45","intermediate"
"46","intermediate"
"47","intermediate"
"48","early"
"49","intermediate"
"50","intermediate"
"51","early"
"52","EC"
"53","early"
"54","intermediate"
"55","EC"
"56","intermediate"
"57","EC"
"58","early"
"59","intermediate"
"60","CM"
"61","intermediate"
"62","intermediate"
"63","CM"
"64","intermediate"
"65","intermediate"
"66","intermediate"
"67","intermediate"
"68","intermediate"
"69","intermediate"
"70","CM"
"71","intermediate"
"72","intermediate"
"73","intermediate"
"74","intermediate"
"75","intermediate"
"76","intermediate"
"77","EC"
"78","intermediate"
"79","intermediate"
"80","intermediate"
"81","intermediate"
"82","intermediate"
"83","intermediate"
"84","intermediate"
"85","intermediate"
"86","intermediate"
"87","intermediate"
"88","CM"
"89","intermediate"
"90","intermediate"
"91","intermediate"
"92","intermediate"
"93","intermediate"
"94","CM"
"95","intermediate"
"96","intermediate"
"97","CM"
"98","intermediate"
"99","intermediate"
"100","CM"
"101","intermediate"
"102","intermediate"
"103","CM"
"104","intermediate"
"105","CM"
"106","intermediate"
"107","intermediate"
"108","CM"
"109","intermediate"
"110","intermediate"
"111","intermediate"
"112","intermediate"
"113","CM"
"114","intermediate"
"115","intermediate"
"116","intermediate"
"117","intermediate"
"118","intermediate"
"119","intermediate"
"120","CM"
"121","intermediate"
"122","intermediate"
"123","EC"
"124","intermediate"
"125","intermediate"
"126","intermediate"
"127","CM"
"128","intermediate"
"129","CM"
"130","intermediate"
"131","intermediate"
"132","intermediate"
"133","intermediate"
"134","CM"
"135","intermediate"
"136","early"
"137","early"
"138","early"
"139","early"
"140","intermediate"
"141","early"
"142","EC"
"143","early"
"144","intermediate"
"145","CM"
"146","intermediate"
"147","intermediate"
"148","intermediate"
"149","intermediate"
"150","intermediate"
"151","EC"
"152","intermediate"
"153","intermediate"
"154","CM"
"155","intermediate"
"156","intermediate"
"157","intermediate"
"158","EC"
"159","intermediate"
"160","intermediate"
"161","CM"
"162","intermediate"
"163","intermediate"
"164","intermediate"
"165","intermediate"
"166","CM"
"167","intermediate"
"168","intermediate"
"169","intermediate"
"170","intermediate"
"171","intermediate"
"172","intermediate"
"173","intermediate"
"174","intermediate"
"175","EC"
"176","intermediate"
"177","intermediate"
"178","intermediate"
"179","intermediate"
"180","CM"
"181","intermediate"
"182","intermediate"
"183","CM"
"184","CM"
"185","intermediate"
"186","intermediate"
"187","CM"
"188","intermediate"
"189","intermediate"
"190","intermediate"
"191","intermediate"
"192","intermediate"
"193","intermediate"
"194","intermediate"
"195","intermediate"
"196","intermediate"
"197","intermediate"
